                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3055,                 2.9116,                 1.4402,                0.75863,                0.83472,                0.84412,                0.56787,                  1.075,                 1.3865,                 1.4711,             0.00030003,             0.00030003,             0.00030003
                      2,                 1.1168,                 1.1105,                 1.3056,                0.56379,                0.78354,                0.72262,                0.50014,                 1.1423,                 0.9951,                 1.4277,             0.00059109,             0.00059109,             0.00059109
                      3,                 1.1404,                0.96861,                 1.3097,                0.76039,                0.85394,                0.85662,                 0.5864,                 1.0711,                 1.0012,                 1.4153,             0.00087015,             0.00087015,             0.00087015
                      4,                  1.104,                0.92186,                 1.2811,                0.84037,                0.86981,                0.92404,                0.64988,                 1.0083,                 0.7161,                 1.3605,             0.00085501,             0.00085501,             0.00085501
                      5,                 1.0657,                0.87528,                 1.2666,                0.80236,                 0.7994,                0.88011,                0.61259,                 1.0771,                0.86432,                 1.3756,             0.00085501,             0.00085501,             0.00085501
                      6,                 1.0375,                 0.8206,                 1.2497,                0.94467,                0.95289,                 0.9648,                0.69864,                0.98611,                0.60536,                 1.3443,             0.00083701,             0.00083701,             0.00083701
                      7,                 1.0016,                0.75512,                 1.2253,                0.91569,                0.86253,                0.93335,                0.70137,                0.86983,                0.60469,                 1.2528,             0.00081901,             0.00081901,             0.00081901
                      8,                0.97945,                 0.7373,                 1.2171,                0.92534,                0.92444,                0.97322,                0.74039,                0.87046,                0.66122,                 1.2448,             0.00080101,             0.00080101,             0.00080101
                      9,                0.97876,                0.73113,                 1.2092,                0.86483,                0.94184,                0.94929,                0.72582,                0.87789,                0.59094,                 1.2531,             0.00078301,             0.00078301,             0.00078301
                     10,                0.92825,                0.66386,                 1.1941,                0.92797,                0.90637,                0.95174,                0.71456,                0.89811,                0.60207,                 1.2553,             0.00076501,             0.00076501,             0.00076501
                     11,                 0.9265,                0.64922,                 1.1764,                0.95506,                0.94867,                0.98158,                0.75514,                0.84574,                0.50211,                 1.2133,             0.00074702,             0.00074702,             0.00074702
                     12,                 0.9165,                0.62751,                 1.1821,                0.91668,                0.94256,                 0.9667,                0.76506,                0.84137,                0.51882,                 1.2166,             0.00072902,             0.00072902,             0.00072902
                     13,                0.90947,                0.63678,                 1.1612,                0.98465,                0.95865,                  0.979,                0.76342,                0.90197,                0.45789,                 1.2461,             0.00071102,             0.00071102,             0.00071102
                     14,                0.87385,                 0.5966,                 1.1448,                0.95953,                0.96189,                0.97689,                0.78719,                0.77343,                0.44723,                 1.1771,             0.00069302,             0.00069302,             0.00069302
                     15,                0.84322,                0.57032,                 1.1278,                0.93669,                0.95426,                0.97486,                0.78677,                0.77915,                0.43516,                 1.1791,             0.00067502,             0.00067502,             0.00067502
                     16,                 0.8849,                0.58752,                 1.1483,                0.95304,                0.95513,                0.97594,                0.77811,                0.78233,                0.45648,                 1.2025,             0.00065703,             0.00065703,             0.00065703
                     17,                0.80074,                0.54036,                 1.1018,                0.97237,                0.95001,                0.97729,                0.78768,                0.77189,                0.40958,                 1.1659,             0.00063903,             0.00063903,             0.00063903
                     18,                0.82291,                0.53842,                 1.1173,                0.93595,                0.96739,                0.97885,                0.77704,                0.75842,                0.43051,                 1.1675,             0.00062103,             0.00062103,             0.00062103
                     19,                0.81223,                0.51603,                 1.1042,                0.96132,                0.96878,                0.98051,                0.81242,                0.74712,                 0.3916,                 1.1524,             0.00060303,             0.00060303,             0.00060303
                     20,                0.79929,                0.54617,                 1.1111,                0.98094,                0.97423,                 0.9833,                0.81818,                0.75536,                0.38782,                 1.1377,             0.00058503,             0.00058503,             0.00058503
                     21,                0.77766,                0.58036,                 1.0998,                0.94929,                0.96532,                0.97023,                0.80399,                0.71758,                0.39917,                 1.1396,             0.00056703,             0.00056703,             0.00056703
                     22,                0.77754,                0.49692,                 1.0897,                0.97111,                0.97762,                 0.9841,                0.82175,                0.73268,                0.38343,                 1.1348,             0.00054904,             0.00054904,             0.00054904
                     23,                0.76668,                0.48768,                 1.0856,                0.96685,                0.96743,                0.98195,                0.80164,                0.72036,                0.38432,                 1.1504,             0.00053104,             0.00053104,             0.00053104
                     24,                0.76158,                0.48377,                 1.0839,                0.97561,                 0.9528,                0.97764,                 0.8149,                0.68401,                0.37338,                 1.1125,             0.00051304,             0.00051304,             0.00051304
                     25,                0.74334,                0.47376,                 1.0788,                0.97589,                0.95593,                0.98512,                0.82667,                0.71858,                0.38186,                 1.1143,             0.00049504,             0.00049504,             0.00049504
                     26,                0.73608,                 0.4841,                 1.0775,                0.96573,                0.97356,                0.98323,                0.82512,                0.70894,                0.38426,                 1.1321,             0.00047704,             0.00047704,             0.00047704
                     27,                0.75249,                0.46993,                 1.0808,                0.98061,                0.98241,                0.98652,                0.83055,                0.68661,                0.35169,                 1.1013,             0.00045904,             0.00045904,             0.00045904
                     28,                 0.7253,                0.45864,                 1.0636,                0.96524,                 0.9581,                0.97945,                0.82927,                0.67451,                0.34668,                 1.1044,             0.00044105,             0.00044105,             0.00044105
                     29,                0.72432,                  0.455,                 1.0644,                0.95481,                0.97478,                0.98214,                0.83215,                 0.6762,                0.35214,                 1.1049,             0.00042305,             0.00042305,             0.00042305
                     30,                0.69626,                0.44451,                 1.0487,                0.98293,                0.97794,                0.98625,                0.83249,                0.65281,                0.35331,                 1.0997,             0.00040505,             0.00040505,             0.00040505
                     31,                0.70224,                0.44199,                 1.0565,                0.97031,                0.94994,                0.97957,                0.83309,                0.65093,                 0.3508,                 1.0929,             0.00038705,             0.00038705,             0.00038705
                     32,                0.68632,                0.42697,                 1.0493,                0.98182,                0.98146,                0.98327,                0.84004,                0.68475,                0.33231,                 1.0941,             0.00036905,             0.00036905,             0.00036905
                     33,                0.67027,                0.42536,                 1.0345,                0.95573,                0.98057,                 0.9836,                0.83122,                0.64897,                 0.3401,                 1.0931,             0.00035106,             0.00035106,             0.00035106
                     34,                0.66392,                0.46384,                  1.042,                0.95893,                0.98216,                0.98474,                0.83845,                0.66507,                0.34699,                 1.1088,             0.00033306,             0.00033306,             0.00033306
                     35,                0.65603,                0.40643,                 1.0302,                0.97583,                0.97935,                0.98785,                0.83343,                0.65521,                0.33724,                 1.0945,             0.00031506,             0.00031506,             0.00031506
                     36,                0.66277,                0.39527,                 1.0345,                0.95999,                0.96365,                0.97551,                0.83304,                0.63932,                0.33282,                 1.0922,             0.00029706,             0.00029706,             0.00029706
                     37,                0.65056,                0.39055,                 1.0275,                0.98369,                0.98117,                0.98801,                0.84968,                0.63169,                0.31305,                  1.076,             0.00027906,             0.00027906,             0.00027906
                     38,                  0.628,                0.38989,                 1.0155,                0.97492,                0.98512,                0.98803,                0.84952,                 0.6111,                0.30305,                 1.0761,             0.00026106,             0.00026106,             0.00026106
                     39,                0.63085,                0.37949,                 1.0204,                0.97084,                0.97083,                0.98352,                0.84241,                0.63766,                0.31589,                 1.0826,             0.00024307,             0.00024307,             0.00024307
                     40,                0.63626,                0.38175,                  1.025,                0.98217,                0.97719,                 0.9869,                0.83471,                 0.6377,                0.32166,                 1.0869,             0.00022507,             0.00022507,             0.00022507
                     41,                0.56473,                0.30278,                 1.0038,                0.98332,                0.97317,                0.98809,                0.84571,                0.61701,                0.31755,                 1.0896,             0.00020707,             0.00020707,             0.00020707
                     42,                 0.5427,                0.28472,                0.98294,                0.97802,                 0.9744,                0.98909,                0.86036,                0.58912,                0.29861,                 1.0553,             0.00018907,             0.00018907,             0.00018907
