                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.363,                 3.0531,                  1.478,                0.76443,                0.63662,                0.75146,                0.48993,                 1.2389,                 1.6969,                 1.4196,             0.00030116,             0.00030116,             0.00030116
                      2,                 1.2636,                 1.3899,                 1.3815,                0.81452,                0.74096,                0.81231,                 0.5349,                 1.1963,                 1.2544,                 1.3872,             0.00058024,             0.00058024,             0.00058024
                      3,                 1.2436,                 1.2442,                 1.3565,                0.70933,                0.68972,                0.69727,                0.43266,                 1.3356,                 1.6219,                 1.5012,             0.00083532,             0.00083532,             0.00083532
                      4,                 1.2214,                 1.1662,                 1.3403,                0.75497,                0.78481,                 0.8328,                0.54792,                 1.2567,                 1.2717,                 1.4159,             0.00080101,             0.00080101,             0.00080101
                      5,                 1.1822,                 1.0683,                 1.3253,                0.69713,                0.87078,                0.87402,                0.61375,                 1.1237,                0.96706,                 1.3374,             0.00080101,             0.00080101,             0.00080101
                      6,                 1.1678,                 0.9732,                 1.2896,                0.72496,                0.82365,                 0.8304,                0.55697,                  1.179,                 1.0499,                 1.3507,             0.00076501,             0.00076501,             0.00076501
                      7,                 1.1165,                0.94973,                 1.2729,                0.76113,                0.85879,                 0.8806,                 0.6151,                 1.0997,                0.87987,                 1.2992,             0.00072902,             0.00072902,             0.00072902
                      8,                 1.0877,                0.91398,                 1.2401,                0.80925,                0.88215,                0.88195,                0.64937,                 1.0097,                0.80752,                 1.2277,             0.00069302,             0.00069302,             0.00069302
                      9,                 1.0502,                0.85024,                 1.2277,                0.85676,                 0.8457,                 0.9121,                0.67121,                 1.0331,                0.78263,                 1.2435,             0.00065703,             0.00065703,             0.00065703
                     10,                 1.0462,                0.82805,                 1.2244,                0.83892,                0.86577,                0.90496,                0.66455,                 1.0054,                0.71629,                 1.2304,             0.00062103,             0.00062103,             0.00062103
                     11,                 1.0152,                0.80658,                 1.2056,                0.84274,                 0.8816,                0.92185,                0.68799,                0.95973,                0.71035,                 1.2114,             0.00058503,             0.00058503,             0.00058503
                     12,                0.98613,                 0.7674,                 1.1917,                0.81737,                0.89773,                 0.9043,                0.67571,                 1.0009,                0.73436,                 1.2212,             0.00054904,             0.00054904,             0.00054904
                     13,                  0.968,                0.75024,                 1.1804,                0.80519,                0.94433,                0.91765,                0.69357,                0.93227,                0.63016,                 1.1813,             0.00051304,             0.00051304,             0.00051304
                     14,                0.95328,                0.72311,                 1.1724,                0.81473,                0.91221,                0.92215,                0.69958,                0.93369,                0.67959,                 1.1779,             0.00047704,             0.00047704,             0.00047704
                     15,                0.91549,                0.68946,                 1.1607,                0.83862,                0.89354,                0.92427,                 0.7159,                0.90677,                0.67688,                 1.1675,             0.00044105,             0.00044105,             0.00044105
                     16,                 0.8704,                0.57022,                 1.1682,                0.86874,                0.89831,                0.93132,                0.72631,                0.89724,                0.61279,                 1.1598,             0.00040505,             0.00040505,             0.00040505
                     17,                0.84512,                0.53553,                 1.1502,                 0.8787,                 0.8771,                0.93007,                 0.7397,                 0.8841,                0.59384,                 1.1511,             0.00036905,             0.00036905,             0.00036905
                     18,                0.81731,                0.51488,                 1.1269,                0.88495,                0.91209,                0.94109,                0.75186,                0.85329,                0.53949,                 1.1314,             0.00033306,             0.00033306,             0.00033306
                     19,                0.80106,                0.49281,                 1.1247,                0.85028,                0.94523,                0.94327,                0.75097,                0.83901,                0.54717,                 1.1234,             0.00029706,             0.00029706,             0.00029706
                     20,                0.77348,                0.47728,                 1.1014,                0.85325,                0.94131,                 0.9453,                0.75432,                0.84631,                0.56971,                 1.1187,             0.00026106,             0.00026106,             0.00026106
                     21,                0.75249,                0.45752,                 1.0904,                0.86381,                0.92727,                0.94367,                0.76102,                0.83285,                0.51862,                 1.1037,             0.00022507,             0.00022507,             0.00022507
                     22,                0.73456,                0.43641,                 1.0832,                0.89018,                0.91697,                0.94964,                0.76367,                0.81873,                0.52195,                 1.1075,             0.00018907,             0.00018907,             0.00018907
                     23,                0.72388,                0.42707,                 1.0683,                 0.8789,                0.93132,                0.95189,                0.77663,                0.80213,                0.49224,                 1.0925,             0.00015308,             0.00015308,             0.00015308
                     24,                0.69681,                0.40766,                 1.0498,                0.90256,                0.90224,                0.95361,                 0.7749,                0.80787,                0.50238,                 1.0996,             0.00011708,             0.00011708,             0.00011708
                     25,                0.69028,                0.39494,                 1.0468,                0.90475,                0.92207,                0.95794,                0.78596,                0.79159,                0.47905,                 1.0849,             8.1083e-05,             8.1083e-05,             8.1083e-05
