                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3615,                 3.0543,                 1.4743,                0.58614,                0.69472,                0.69212,                0.42072,                  1.403,                 1.7317,                 1.5191,             0.00030116,             0.00030116,             0.00030116
                      2,                 1.2605,                  1.385,                 1.3682,                0.64725,                0.74042,                0.75418,                 0.5036,                 1.2256,                 1.4067,                 1.4233,              0.0005922,              0.0005922,              0.0005922
                      3,                 1.2477,                 1.2518,                 1.3517,                0.74292,                0.80528,                0.82408,                0.52129,                 1.2504,                 1.1108,                 1.4118,             0.00087124,             0.00087124,             0.00087124
                      4,                 1.2473,                 1.1906,                 1.3595,                0.77705,                0.75229,                0.81519,                0.53963,                 1.2038,                 1.2452,                 1.3965,             0.00085501,             0.00085501,             0.00085501
                      5,                   1.19,                 1.0773,                 1.3209,                0.80267,                0.81656,                0.87376,                0.59847,                 1.1285,                0.99176,                 1.3221,             0.00085501,             0.00085501,             0.00085501
                      6,                  1.179,                  1.006,                 1.2929,                0.82562,                0.80982,                 0.8786,                0.61293,                 1.1164,                0.90198,                 1.3058,             0.00083701,             0.00083701,             0.00083701
                      7,                 1.1569,                 0.9882,                 1.2955,                0.76047,                 0.8918,                0.89366,                0.63412,                 1.0577,                0.85806,                 1.2673,             0.00081901,             0.00081901,             0.00081901
                      8,                  1.107,                0.91548,                 1.2522,                0.83557,                0.88026,                 0.9048,                0.64369,                 1.0954,                0.78241,                 1.2954,             0.00080101,             0.00080101,             0.00080101
                      9,                 1.0633,                0.86266,                 1.2352,                  0.791,                0.84573,                0.88028,                0.60964,                 1.1082,                 0.8677,                 1.3051,             0.00078301,             0.00078301,             0.00078301
                     10,                 1.0581,                0.88455,                 1.2288,                0.87943,                0.87677,                 0.9194,                0.66619,                 1.0259,                0.70944,                  1.233,             0.00076501,             0.00076501,             0.00076501
                     11,                 1.0516,                0.83184,                 1.2267,                0.80354,                0.90689,                0.90568,                  0.663,                 1.0315,                0.75857,                   1.24,             0.00074702,             0.00074702,             0.00074702
                     12,                 1.0373,                0.82854,                 1.2147,                0.80307,                0.87415,                0.87335,                 0.6316,                 1.0587,                 0.7815,                 1.2703,             0.00072902,             0.00072902,             0.00072902
                     13,                 1.0175,                0.79543,                 1.2084,                0.81977,                0.91519,                0.92471,                0.67618,                0.99217,                0.67877,                 1.2223,             0.00071102,             0.00071102,             0.00071102
                     14,                 1.0051,                0.77873,                 1.2005,                 0.8552,                0.90464,                0.92719,                0.68975,                 1.0207,                0.64077,                 1.2084,             0.00069302,             0.00069302,             0.00069302
                     15,                0.96777,                0.73627,                  1.182,                0.86013,                0.87987,                0.91735,                0.68789,                0.95236,                0.66075,                 1.1871,             0.00067502,             0.00067502,             0.00067502
                     16,                0.95291,                  0.706,                 1.1682,                0.83464,                0.91783,                0.92256,                0.69812,                0.96343,                0.65448,                 1.1904,             0.00065703,             0.00065703,             0.00065703
                     17,                0.95498,                0.71824,                 1.1742,                0.83664,                0.90826,                0.92399,                0.69843,                0.94592,                 0.6583,                 1.1766,             0.00063903,             0.00063903,             0.00063903
                     18,                0.94998,                0.70282,                 1.1612,                0.88224,                0.89192,                0.93025,                0.70608,                 0.9315,                0.62541,                 1.1643,             0.00062103,             0.00062103,             0.00062103
                     19,                0.92177,                0.67724,                 1.1569,                0.89275,                0.88531,                0.93201,                0.71965,                0.93557,                0.61961,                 1.1754,             0.00060303,             0.00060303,             0.00060303
                     20,                0.93393,                0.66189,                 1.1555,                0.87118,                0.91565,                0.93526,                0.69705,                0.95381,                0.61512,                 1.2028,             0.00058503,             0.00058503,             0.00058503
                     21,                0.89736,                0.65576,                 1.1392,                0.86728,                0.89599,                0.93607,                0.72278,                0.90233,                0.57875,                 1.1513,             0.00056703,             0.00056703,             0.00056703
                     22,                0.90908,                0.64697,                 1.1331,                0.81263,                 0.9294,                0.92243,                0.71347,                 0.9156,                0.67622,                 1.1625,             0.00054904,             0.00054904,             0.00054904
                     23,                0.89892,                0.65256,                 1.1409,                 0.9007,                0.88069,                0.94256,                0.72516,                0.92512,                0.60758,                 1.1741,             0.00053104,             0.00053104,             0.00053104
                     24,                0.86452,                0.63129,                 1.1211,                0.88201,                 0.8985,                0.93177,                0.72471,                 0.8888,                0.57126,                 1.1483,             0.00051304,             0.00051304,             0.00051304
                     25,                0.84379,                0.61146,                 1.1094,                0.87262,                0.91759,                0.93948,                0.73885,                0.88059,                0.56164,                 1.1496,             0.00049504,             0.00049504,             0.00049504
                     26,                0.85693,                0.60565,                 1.1147,                0.85262,                0.93317,                0.94187,                0.73919,                0.87397,                0.59312,                 1.1416,             0.00047704,             0.00047704,             0.00047704
                     27,                0.84423,                0.59862,                 1.1073,                0.91051,                0.88896,                0.95025,                0.73993,                0.87869,                0.57612,                 1.1424,             0.00045904,             0.00045904,             0.00045904
                     28,                0.85577,                0.58965,                 1.1117,                0.90029,                 0.9051,                0.94079,                0.72627,                 0.8756,                 0.5574,                  1.135,             0.00044105,             0.00044105,             0.00044105
                     29,                0.82347,                0.56737,                 1.0937,                0.88157,                0.90948,                 0.9466,                0.75603,                0.84568,                 0.5479,                 1.1259,             0.00042305,             0.00042305,             0.00042305
                     30,                0.80274,                0.55333,                 1.0885,                0.89111,                0.91882,                0.94935,                0.74321,                0.88484,                0.55092,                 1.1578,             0.00040505,             0.00040505,             0.00040505
                     31,                0.81781,                0.55643,                  1.096,                0.89724,                0.89835,                0.94465,                0.74447,                0.86495,                0.57187,                 1.1337,             0.00038705,             0.00038705,             0.00038705
                     32,                0.79694,                0.53999,                 1.0839,                0.89742,                0.90843,                0.94855,                0.75734,                 0.8605,                0.54242,                 1.1337,             0.00036905,             0.00036905,             0.00036905
                     33,                0.78191,                0.52706,                 1.0751,                0.91342,                0.89774,                0.93922,                0.74855,                0.84975,                0.52859,                 1.1347,             0.00035106,             0.00035106,             0.00035106
                     34,                0.79747,                0.52022,                 1.0843,                0.89309,                0.94095,                0.95235,                0.76614,                0.82676,                0.52197,                 1.1151,             0.00033306,             0.00033306,             0.00033306
                     35,                0.77426,                0.50903,                 1.0687,                0.89208,                0.92784,                0.95224,                0.76895,                0.81723,                 0.5117,                 1.0963,             0.00031506,             0.00031506,             0.00031506
                     36,                0.76556,                0.51685,                 1.0689,                0.88465,                0.92073,                0.95339,                0.76817,                0.81884,                0.50692,                 1.0957,             0.00029706,             0.00029706,             0.00029706
                     37,                0.75876,                0.49707,                 1.0638,                0.88681,                0.92154,                0.94608,                0.77178,                0.80915,                0.51047,                 1.1065,             0.00027906,             0.00027906,             0.00027906
                     38,                0.74776,                0.47373,                 1.0529,                0.87283,                0.92442,                0.94052,                0.76436,                0.81707,                0.51769,                 1.1063,             0.00026106,             0.00026106,             0.00026106
                     39,                0.72633,                0.47471,                  1.049,                0.90025,                 0.9283,                0.95409,                0.77938,                 0.7904,                0.49103,                 1.0881,             0.00024307,             0.00024307,             0.00024307
                     40,                0.71761,                0.45243,                 1.0383,                 0.8874,                0.93009,                0.95164,                0.77296,                0.80778,                0.51327,                 1.1031,             0.00022507,             0.00022507,             0.00022507
                     41,                0.68504,                0.38247,                 1.0476,                0.89978,                0.93448,                0.95496,                0.77619,                0.81002,                0.50483,                 1.1079,             0.00020707,             0.00020707,             0.00020707
                     42,                0.66159,                0.36752,                 1.0331,                0.89651,                0.91851,                0.95087,                0.77966,                0.80083,                0.50945,                 1.1045,             0.00018907,             0.00018907,             0.00018907
                     43,                0.65309,                0.36635,                  1.026,                0.88641,                0.93481,                0.95164,                0.77775,                0.79909,                0.49069,                 1.1006,             0.00017107,             0.00017107,             0.00017107
                     44,                0.63825,                0.35078,                 1.0192,                0.89483,                0.95184,                0.95311,                0.78002,                0.78914,                0.48901,                 1.0918,             0.00015308,             0.00015308,             0.00015308
                     45,                0.62489,                0.34434,                  1.008,                0.89027,                0.92312,                0.94963,                0.77943,                0.78163,                0.49451,                 1.0833,             0.00013508,             0.00013508,             0.00013508
                     46,                 0.6138,                0.33384,                0.99904,                0.88829,                0.95191,                0.95802,                0.78771,                0.77655,                 0.4698,                 1.0853,             0.00011708,             0.00011708,             0.00011708
                     47,                0.60608,                0.32992,                0.99128,                0.88951,                0.95899,                0.95587,                0.78675,                0.77763,                0.47086,                 1.0879,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     48,                0.60104,                0.32177,                 0.9936,                0.91095,                0.91369,                0.95695,                0.78836,                0.78349,                0.47997,                 1.0925,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     49,                0.58866,                 0.3173,                0.98643,                0.89143,                0.95556,                0.95796,                0.78776,                0.77408,                0.47557,                 1.0853,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     50,                0.57086,                0.31541,                0.97459,                 0.9066,                0.92614,                0.95703,                0.79208,                0.76861,                0.46438,                 1.0811,             4.5086e-05,             4.5086e-05,             4.5086e-05
